event,year,era,category,cause,result
大化の改新,645,飛鳥,政治改革,豪族政治の見直し,中央集権国家の形成
壬申の乱,672,飛鳥,内乱,皇位継承争い,天皇中心の政治強化
平安京遷都,794,平安,政治,政治の安定,平安時代の始まり
鎌倉幕府成立,1192,鎌倉,政治,武士の台頭,武家政権成立
承久の乱,1221,鎌倉,戦い,朝廷と幕府の対立,幕府の支配強化
応仁の乱,1467,室町,戦い,将軍後継争い,戦国時代へ
関ヶ原の戦い,1600,安土桃山,戦い,権力争い,徳川家康勝利
江戸幕府成立,1603,江戸,政治,家康の権力確立,長期安定政権
日露戦争,1904,近代,戦争,ロシアとの対立,日本勝利
奴国王が後漢に使いを送る,57,弥生,外交,中国との関係,日本の存在認識
卑弥呼が魏に使いを送る,239,弥生,外交,中国交流,邪馬台国発展
仏教伝来,538,飛鳥,文化,大陸文化流入,仏教普及
聖徳太子が政治参加,593,飛鳥,政治,天皇中心政治,中央集権化
冠位十二階,603,飛鳥,政治,能力重視,官僚制度
十七条の憲法,604,飛鳥,政治,国家統治,役人規範
遣隋使派遣,607,飛鳥,外交,中国制度導入,文化発展
大化の改新,645,飛鳥,政治改革,豪族排除,中央集権国家
壬申の乱,672,飛鳥,内乱,皇位争い,天皇権力強化
藤原京遷都,694,飛鳥,政治,都整備,中央集権
平城京遷都,710,奈良,政治,律令国家,奈良時代開始
古事記,712,奈良,文化,国家統一,神話記録
日本書紀,720,奈良,文化,歴史記録,国家正当化
三世一身法,723,奈良,土地制度,開墾促進,農地増加
墾田永年私財法,743,奈良,土地制度,開墾促進,荘園発展
東大寺大仏完成,752,奈良,文化,仏教信仰,国家安定
平安京遷都,794,平安,政治,都安定,平安時代開始
藤原良房が摂政,866,平安,政治,藤原氏台頭,摂関政治
藤原基経が関白,887,平安,政治,藤原氏支配,政治掌握
遣唐使停止,894,平安,外交,国風文化,独自文化
藤原道長摂政,1016,平安,政治,藤原氏最盛,貴族政治
前九年の役,1051,平安,戦い,地方争い,武士台頭
後三年の役,1083,平安,戦い,勢力争い,武士強化
院政開始,1086,平安,政治,上皇政治,権力維持
保元の乱,1156,平安,戦い,権力争い,武士台頭
平治の乱,1159,平安,戦い,武士対立,平氏政権
平清盛太政大臣,1167,平安,政治,平氏権力,武士政権
壇ノ浦の戦い,1185,鎌倉,戦い,源平争い,源氏勝利
源頼朝征夷大将軍,1192,鎌倉,政治,武士政権,幕府成立
承久の乱,1221,鎌倉,戦い,朝廷対立,幕府強化
御成敗式目,1232,鎌倉,法律,武士統治,法整備
文永の役,1274,鎌倉,戦争,元侵攻,御家人疲弊
弘安の役,1281,鎌倉,戦争,元侵攻,幕府弱体化
鎌倉幕府滅亡,1333,鎌倉,政治,御家人不満,政権崩壊
建武の新政,1334,室町,政治,天皇政治,武士不満
室町幕府成立,1336,室町,政治,足利尊氏,武家政権
南北朝合一,1392,室町,政治,対立終結,統一
勘合貿易,1404,室町,外交,日明貿易,経済発展
応仁の乱,1467,室町,戦い,後継争い,戦国時代
鉄砲伝来,1543,戦国,文化,ポルトガル来航,戦術変化
キリスト教伝来,1549,戦国,宗教,宣教師来日,布教
桶狭間の戦い,1560,戦国,戦い,勢力争い,信長台頭
長篠の戦い,1575,戦国,戦い,鉄砲戦術,武田敗北
本能寺の変,1582,安土桃山,戦い,明智光秀,信長死亡
太閤検地,1582,安土桃山,政治,土地把握,支配強化
刀狩令,1588,安土桃山,政治,一揆防止,身分固定
関ヶ原の戦い,1600,安土桃山,戦い,権力争い,徳川勝利
江戸幕府成立,1603,江戸,政治,家康政権,長期安定
武家諸法度,1615,江戸,政治,大名統制,幕府安定
参勤交代制度化,1635,江戸,政治,統制強化,財政圧迫
鎖国完成,1639,江戸,外交,キリスト教警戒,対外制限
享保の改革,1716,江戸,政治改革,財政難,倹約
寛政の改革,1787,江戸,政治改革,幕府立て直し,統制強化
天保の改革,1841,江戸,政治改革,財政難,失敗
黒船来航,1853,江戸,外交,ペリー来航,開国圧力
日米和親条約,1854,幕末,外交,開国,日本開国
日米修好通商条約,1858,幕末,外交,貿易開始,不平等条約
大政奉還,1867,幕末,政治,幕府終焉,明治へ
明治維新,1868,明治,政治改革,近代化,中央集権
廃藩置県,1871,明治,政治,中央集権,藩廃止
学制,1872,明治,教育,近代化,教育制度
地租改正,1873,明治,経済,税安定,財政確立
西南戦争,1877,明治,戦い,士族反乱,政府勝利
大日本帝国憲法,1889,明治,政治,近代国家,立憲制
日清戦争,1894,近代,戦争,朝鮮問題,日本勝利
日露戦争,1904,近代,戦争,ロシア対立,日本勝利
第一次世界大戦,1914,近代,戦争,列強対立,日本参戦
世界恐慌,1929,近代,経済,大不況,日本不況
満州事変,1931,近代,戦争,中国侵略,国際批判
日中戦争,1937,近代,戦争,対中戦争,長期化
第二次世界大戦,1939,近代,戦争,世界対立,日本敗戦
日本国憲法施行,1947,現代,政治,民主化,平和国家
ポーツマス条約,1905,近代,外交,日露戦争,日本有利講和
韓国併合,1910,近代,外交,日本支配,植民地化
大正デモクラシー,1912,近代,政治,民主主義,普通選挙へ
米騒動,1918,近代,社会,米価高騰,民衆運動
普通選挙法,1925,近代,政治,民主化,選挙拡大
治安維持法,1925,近代,政治,思想統制,弾圧強化
五・一五事件,1932,近代,政治,軍部台頭,政党政治終焉
二・二六事件,1936,近代,政治,軍部反乱,統制強化
国家総動員法,1938,近代,政治,戦争体制,統制経済
ポツダム宣言,1945,現代,外交,日本敗戦,戦争終結
サンフランシスコ平和条約,1951,現代,外交,主権回復,独立
日米安全保障条約,1951,現代,外交,安全保障,米軍駐留
自衛隊発足,1954,現代,政治,防衛,軍事組織
高度経済成長,1955,現代,経済,復興,経済発展
日韓基本条約,1965,現代,外交,国交正常化,関係改善
沖縄返還,1972,現代,外交,日本復帰,主権回復
バブル経済,1986,現代,経済,金融緩和,景気過熱
バブル崩壊,1991,現代,経済,不動産下落,不況
阪神淡路大震災,1995,現代,社会,地震,都市被害
東日本大震災,2011,現代,社会,地震,復興課題
